,Name,Type,Link,Latitude,Longitude,ImageUrl,Description
0,Abonoteichos,Greek,https://en.wikipedia.org//wiki/Abonoteichos,41°58′26″N,33°45′58″E,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0e/03_Inebolu2005_0804_133337a%28AydinTiryaki%29.JPG/800px-03_Inebolu2005_0804_133337a%28AydinTiryaki%29.JPG,"Abonoteichos (Greek: Ἀβώνου τεῖχος Avónou tíchos, demonym: Αβωνοτειχίτης Avonotichítis), later Ionopolis (Ιωνόπολις Ionópolis; Turkish: İnebolu), was an ancient city in Asia Minor, on the site of modern İnebolu (in Asian Turkey) and remains a Latin Catholic titular see.
"
1,Abydos (Hellespont),Greek,https://en.wikipedia.org//wiki/Abydos_(Hellespont),40°11′43″N,26°24′18″E,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Gold_stater_reverse_Philippos_CdM_Paris_FG1973-1-71.jpg/600px-Gold_stater_reverse_Philippos_CdM_Paris_FG1973-1-71.jpg,"Abydos (Ancient Greek: Ἄβυδος, Latin: Abydus) was an ancient city and bishopric in Mysia.[nb 1] It was located at the Nara Burnu promontory on the Asian coast of the Hellespont (the straits of Dardanelles), opposite the ancient city of Sestos, and near the city of Çanakkale in Turkey. Abydos was founded in c. 670 BC at the most narrow point in the straits,[1] and thus was one of the main crossing points between Europe and Asia, until its replacement by the crossing between Lampsacus and Kallipolis in the 13th century,[5] and the abandonment of Abydos in the early 14th century.[2]
"
2,Acharaca,Greek,https://en.wikipedia.org//wiki/Acharaca,37°54′N,28°06′E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Acharaca (Ancient Greek: Ἀχάρακα) was a village of ancient Lydia, Anatolia on the road from Tralles (modern Aydın, Turkey) to Nysa on the Maeander, with a Ploutonion or a temple of Pluto, and a cave, named Charonium (Ancient Greek: Χαρώνειον άντρον), where the sick were healed under the direction of the priests.[1] There is some indication that it once bore the name Charax (Χάραξ), but that name may have belonged to Tralles.[2][3] Its location is now the site of the modern town of Salavatlı. Recoveries from archaeological excavations are housed at the Aydın Archaeological Museum.
"
3,Achilleion (Troad),Greek,https://en.wikipedia.org//wiki/Achilleion_(Troad),39°54′54″N,26°9′9″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Achilleion (Ancient Greek: Ἀχίλλειον, romanized: Achilleion; Latin: Achilleum or Achilleium) was an ancient Greek city in the south-west of the Troad region of Anatolia.[1] It has been located on a promontory known as Beşika Burnu ('cradle promontory') about 8 km south of Sigeion.[2] Beşika Burnu is 2 km south of the modern village of Yeniköy in the Ezine district of Çanakkale Province, Turkey.[3] The site considered in classical antiquity to be the tomb of Achilles is a short distance inland at a tumulus known as Beşiktepe.[4] Achilleion in the Troad is not to be confused with Achilleion near Smyrna and Achilleion in the territory of Tanagra.[5]
"
4,Acrassus,Greek,https://en.wikipedia.org//wiki/Acrassus,,,,"Acrassus or Akrassos (Ancient Greek: Ἄκρασος) was an ancient Roman and Byzantine-era city in Lydia (modern Turkey).[1][2][3][4] in the Roman province of Asia and Lydia.[5]
[6] Apparently, it is the same place that Ptolemy calls Nacrasa or Nakrasa (Ancient Greek: Νάκρασα), placed on the road from Thyatira to Pergamum.[7][8][9]
"
5,Adada (Pisidia),Greek,https://en.wikipedia.org//wiki/Adada_(Pisidia),37°34′31″N,30°58′59″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Adada is an ancient city and archaeological site in ancient Pisidia, north of Selge and east of Kestros River, near the village of Sağrak, in Isparta Province’s Sütçüler township. The location was identified as Karabavullu or Karabavli, about 35 km south of Lake Egridir.
"
6,Adıyaman,Greek,https://en.wikipedia.org//wiki/Ad%C4%B1yaman,37°45′50″N,38°16′40″E,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/Adiyaman%2C_Turkey_02.jpg/800px-Adiyaman%2C_Turkey_02.jpg,"
"
7,Adramyttium,Greek,https://en.wikipedia.org//wiki/Adramyttium,39°29′52″N,26°56′15″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Turkey_adm_location_map.svg/800px-Turkey_adm_location_map.svg.png,"Adramyttium[nb 1] (Greek: Άδραμύττιον Adramyttion, Άδραμύττειον Adramytteion, or Άτραμύττιον Atramyttion) was an ancient city and bishopric in Aeolis, in modern-day Turkey. It was originally located at the head of the Gulf of Adramyttium, at Ören in the Plain of Thebe, 4 kilometres west of the modern town of Burhaniye, but later moved 13 kilometres northeast to its current location and became known as Edremit.
"
8,Aegospotami,Greek,https://en.wikipedia.org//wiki/Aegospotami,40°21′50.66″N,26°37′51″E,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e9/Thraciae-veteris-typvs.jpg/780px-Thraciae-veteris-typvs.jpg,"Aegospotami (Ancient Greek: Αἰγὸς Ποταμοί, Aigos Potamoi) or Aegospotamos[1] (i.e. Goat Streams) is the ancient Greek name for a small river issuing into the Hellespont (Modern Turkish Çanakkale Boğazı), northeast of Sestos.[2]
"
9,Ağlasun,Greek,https://en.wikipedia.org//wiki/A%C4%9Flasun,37°38′58″N,30°32′02″E,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d0/Blick_auf_A%C4%9Flasun.jpg/800px-Blick_auf_A%C4%9Flasun.jpg,"Ağlasun (from Greek Αγαλασσός Agalassos, in turn from Koine Greek Σαγαλασσός Sagalassos, in turn from Hittite Salawassa) is a town and district of Burdur Province in the Mediterranean region of Turkey. The mayor is Aydın Kaplan (MHP).
"
